cimento,fck,fcj,ac,slump,dmax,agua,consumo_cimento,consumo_brita,consumo_areia,ar_incorporado,teor_argamassa
CP II 32,10,16.6,0.68,70,9.5,160,235,893,1103.2,2,60
CP II 32,10,16.6,0.68,80,9.5,165,243,887,1089,2,60
CP II 32,10,16.6,0.68,90,9.5,170,250,883,1073.73,2,60
CP II 32,10,16.6,0.68,100,9.5,175,257,877.67,1059.75,2,60
CP II 32,10,16.6,0.68,110,9.5,180,265,872.67,1044.59,2,60
CP II 32,10,16.6,0.68,120,9.5,185,272,867.67,1030.28,2,60
CP II 32,10,16.6,0.68,130,9.5,190,279,862.67,1015.98,2,60
CP II 32,10,16.6,0.68,140,9.5,195,287,857.67,1000.82,2,60
CP II 32,10,16.6,0.68,70,12.5,148,217,905,1138.55,2,60
CP II 32,10,16.6,0.68,80,12.5,155,228,898,1117.5,2,60
CP II 32,10,16.6,0.68,90,12.5,161,236,891,1101.63,2,60
CP II 32,10,16.6,0.68,100,12.5,167,245,886,1083,2,60
CP II 32,10,16.6,0.68,110,12.5,173,254,879,1066.28,2,60
CP II 32,10,16.6,0.68,120,12.5,180,264,872,1046.08,2,60
CP II 32,10,16.6,0.68,130,12.5,186,273,866,1028.4,2,60
CP II 32,10,16.6,0.68,140,12.5,192,282,862,1008.81,2,60
CP II 32,10,16.6,0.68,70,19,142,209,910,1156.34,2,60
CP II 32,10,16.6,0.68,80,19,149,219,904,1135.18,2,60
CP II 32,10,16.6,0.68,90,19,156,229,896,1115.94,2,60
CP II 32,10,16.6,0.68,100,19,163,240,889.33,1094.57,2,60
CP II 32,10,16.6,0.68,110,19,169,249,884,1076.26,2,60
CP II 32,10,16.6,0.68,120,19,176,259,877,1056.06,2,60
CP II 32,10,16.6,0.68,130,19,183,269,870,1035.86,2,60
CP II 32,10,16.6,0.68,140,19,190,279,863,1015.66,2,60
CP II 32,10,16.6,0.68,70,25,133,196,920,1181.47,2,60
CP II 32,10,16.6,0.68,80,25,140,206,912,1162.23,2,60
CP II 32,10,16.6,0.68,90,25,148,218,904,1138.66,2,60
CP II 32,10,16.6,0.68,100,25,155,228,898,1117.5,2,60
CP II 32,10,16.6,0.68,110,25,163,240,890,1093.93,2,60
CP II 32,10,16.6,0.68,120,25,170,250,882,1074.69,2,60
CP II 32,10,16.6,0.68,130,25,178,262,874,1051.12,2,60
CP II 32,10,16.6,0.68,140,25,185,272,868,1029.97,2,60
CP II 32,10,16.6,0.68,70,9.5,160,235,915,1082.16,2,59
CP II 32,10,16.6,0.68,80,9.5,165,243,910,1067,2,59
CP II 32,10,16.6,0.68,90,9.5,170,250,905,1052.69,2,59
CP II 32,10,16.6,0.68,100,9.5,175,257,900,1038.39,2,59
CP II 32,10,16.6,0.68,110,9.5,180,265,895,1023.23,2,59
CP II 32,10,16.6,0.68,120,9.5,185,272,890,1008.93,2,59
CP II 32,10,16.6,0.68,130,9.5,190,279,885,994.62,2,59
CP II 32,10,16.6,0.68,140,9.5,195,287,880,979.46,2,59
CP II 32,10,16.6,0.68,70,12.5,148,217,928,1116.55,2,59
CP II 32,10,16.6,0.68,80,12.5,155,228,920,1096.46,2,59
CP II 32,10,16.6,0.68,90,12.5,161,236,914,1079.63,2,59
CP II 32,10,16.6,0.68,100,12.5,167,245,909,1061,2,59
CP II 32,10,16.6,0.68,110,12.5,173,254,902,1044.28,2,59
CP II 32,10,16.6,0.68,120,12.5,180,264,896,1023.12,2,59
CP II 32,10,16.6,0.68,130,12.5,186,273,888,1007.36,2,59
CP II 32,10,16.6,0.68,140,12.5,192,282,882,989.68,2,59
CP II 32,10,16.6,0.68,70,19,142,209,934,1133.38,2,59
CP II 32,10,16.6,0.68,80,19,149,219,926,1114.14,2,59
CP II 32,10,16.6,0.68,90,19,156,229,920,1092.98,2,59
CP II 32,10,16.6,0.68,100,19,163,240,912.67,1072.26,2,59
CP II 32,10,16.6,0.68,110,19,169,249,905.67,1055.53,2,59
CP II 32,10,16.6,0.68,120,19,176,259,898.67,1035.34,2,59
CP II 32,10,16.6,0.68,130,19,183,269,891.67,1015.14,2,59
CP II 32,10,16.6,0.68,140,19,190,279,884.67,994.94,2,59
CP II 32,10,16.6,0.68,70,25,133,196,942,1160.43,2,59
CP II 32,10,16.6,0.68,80,25,140,206,936,1139.28,2,59
CP II 32,10,16.6,0.68,90,25,148,218,928,1115.71,2,59
CP II 32,10,16.6,0.68,100,25,155,228,921.33,1095.19,2,59
CP II 32,10,16.6,0.68,110,25,163,240,913,1071.94,2,59
CP II 32,10,16.6,0.68,120,25,170,250,905,1052.69,2,59
CP II 32,10,16.6,0.68,130,25,178,262,898,1028.17,2,59
CP II 32,10,16.6,0.68,140,25,185,272,890,1008.93,2,59
CP II 32,10,16.6,0.68,70,9.5,160,235,938,1060.16,2,58
CP II 32,10,16.6,0.68,80,9.5,165,243,932,1045.96,2,58
CP II 32,10,16.6,0.68,90,9.5,170,250,928,1030.7,2,58
CP II 32,10,16.6,0.68,100,9.5,175,257,922.67,1016.71,2,58
CP II 32,10,16.6,0.68,110,9.5,180,265,917.67,1001.55,2,58
CP II 32,10,16.6,0.68,120,9.5,185,272,912.67,987.25,2,58
CP II 32,10,16.6,0.68,130,9.5,190,279,907.67,972.94,2,58
CP II 32,10,16.6,0.68,140,9.5,195,287,902.67,957.79,2,58
CP II 32,10,16.6,0.68,70,12.5,148,217,951,1094.56,2,58
CP II 32,10,16.6,0.68,80,12.5,155,228,942,1075.42,2,58
CP II 32,10,16.6,0.68,90,12.5,161,236,936,1058.59,2,58
CP II 32,10,16.6,0.68,100,12.5,167,245,930,1040.92,2,58
CP II 32,10,16.6,0.68,110,12.5,173,254,924,1023.24,2,58
CP II 32,10,16.6,0.68,120,12.5,180,264,917,1003.04,2,58
CP II 32,10,16.6,0.68,130,12.5,186,273,912,984.41,2,58
CP II 32,10,16.6,0.68,140,12.5,192,282,905,967.69,2,58
CP II 32,10,16.6,0.68,70,19,142,209,957,1111.39,2,58
CP II 32,10,16.6,0.68,80,19,149,219,950,1091.19,2,58
CP II 32,10,16.6,0.68,90,19,156,229,942,1071.94,2,58
CP II 32,10,16.6,0.68,100,19,163,240,934.67,1051.22,2,58
CP II 32,10,16.6,0.68,110,19,169,249,929,1033.22,2,58
CP II 32,10,16.6,0.68,120,19,176,259,922,1013.02,2,58
CP II 32,10,16.6,0.68,130,19,183,269,914,993.78,2,58
CP II 32,10,16.6,0.68,140,19,190,279,907,973.58,2,58
CP II 32,10,16.6,0.68,70,25,133,196,965,1138.44,2,58
CP II 32,10,16.6,0.68,80,25,140,206,958,1118.24,2,58
CP II 32,10,16.6,0.68,90,25,148,218,950,1094.67,2,58
CP II 32,10,16.6,0.68,100,25,155,228,942.67,1074.79,2,58
CP II 32,10,16.6,0.68,110,25,163,240,935.17,1050.74,2,58
CP II 32,10,16.6,0.68,120,25,170,250,927.67,1031.02,2,58
CP II 32,10,16.6,0.68,130,25,178,262,920.17,1006.97,2,58
CP II 32,10,16.6,0.68,140,25,185,272,912.67,987.25,2,58
CP II 32,10,16.6,0.68,70,9.5,160,235,961,1038.16,2,57
CP II 32,10,16.6,0.68,80,9.5,165,243,955,1023.96,2,57
CP II 32,10,16.6,0.68,90,9.5,170,250,950,1009.66,2,57
CP II 32,10,16.6,0.68,100,9.5,175,257,944.33,995.99,2,57
CP II 32,10,16.6,0.68,110,9.5,180,265,938.83,981.31,2,57
CP II 32,10,16.6,0.68,120,9.5,185,272,933.33,967.48,2,57
CP II 32,10,16.6,0.68,130,9.5,190,279,930,951.58,2,57
CP II 32,10,16.6,0.68,140,9.5,195,287,924,937.38,2,57
CP II 32,10,16.6,0.68,70,12.5,148,217,973,1073.52,2,57
CP II 32,10,16.6,0.68,80,12.5,155,228,967,1051.51,2,57
CP II 32,10,16.6,0.68,90,12.5,161,236,960,1035.64,2,57
CP II 32,10,16.6,0.68,100,12.5,167,245,953.67,1018.28,2,57
CP II 32,10,16.6,0.68,110,12.5,173,254,947.17,1001.08,2,57
CP II 32,10,16.6,0.68,120,12.5,180,264,940.67,980.41,2,57
CP II 32,10,16.6,0.68,130,12.5,186,273,934.17,963.21,2,57
CP II 32,10,16.6,0.68,140,12.5,192,282,927.67,946.01,2,57
CP II 32,10,16.6,0.68,70,19,142,209,980,1089.39,2,57
CP II 32,10,16.6,0.68,80,19,149,219,973,1069.19,2,57
CP II 32,10,16.6,0.68,90,19,156,229,965,1049.95,2,57
CP II 32,10,16.6,0.68,100,19,163,240,957.67,1029.22,2,57
CP II 32,10,16.6,0.68,110,19,169,249,950.17,1012.98,2,57
CP II 32,10,16.6,0.68,120,19,176,259,944,991.98,2,57
CP II 32,10,16.6,0.68,130,19,183,269,937,971.78,2,57
CP II 32,10,16.6,0.68,140,19,190,279,930,951.58,2,57
CP II 32,10,16.6,0.68,70,25,133,196,990,1114.53,2,57
CP II 32,10,16.6,0.68,80,25,140,206,982,1095.28,2,57
CP II 32,10,16.6,0.68,90,25,148,218,974,1071.71,2,57
CP II 32,10,16.6,0.68,100,25,155,228,966,1052.47,2,57
CP II 32,10,16.6,0.68,110,25,163,240,958,1028.9,2,57
CP II 32,10,16.6,0.68,120,25,170,250,950,1009.66,2,57
CP II 32,10,16.6,0.68,130,25,178,262,942,986.09,2,57
CP II 32,10,16.6,0.68,140,25,185,272,934,966.85,2,57
CP II 32,10,16.6,0.68,70,9.5,160,235,984,1016.17,2,56
CP II 32,10,16.6,0.68,80,9.5,165,243,977,1002.92,2,56
CP II 32,10,16.6,0.68,90,9.5,170,250,972,988.62,2,56
CP II 32,10,16.6,0.68,100,9.5,175,257,968,973.35,2,56
CP II 32,10,16.6,0.68,110,9.5,180,265,962,959.16,2,56
CP II 32,10,16.6,0.68,120,9.5,185,272,956,945.81,2,56
CP II 32,10,16.6,0.68,130,9.5,190,279,951,931.5,2,56
CP II 32,10,16.6,0.68,140,9.5,195,287,945,917.3,2,56
CP II 32,10,16.6,0.68,70,12.5,148,217,997,1050.57,2,56
CP II 32,10,16.6,0.68,80,12.5,155,228,988,1031.43,2,56
CP II 32,10,16.6,0.68,90,12.5,161,236,983,1013.65,2,56
CP II 32,10,16.6,0.68,100,12.5,167,245,975.33,997.56,2,56
CP II 32,10,16.6,0.68,110,12.5,173,254,968.33,980.84,2,56
CP II 32,10,16.6,0.68,120,12.5,180,264,961.33,960.64,2,56
CP II 32,10,16.6,0.68,130,12.5,186,273,954.33,943.92,2,56
CP II 32,10,16.6,0.68,140,12.5,192,282,948,926.56,2,56
CP II 32,10,16.6,0.68,70,19,142,209,1003,1067.39,2,56
CP II 32,10,16.6,0.68,80,19,149,219,995,1048.15,2,56
CP II 32,10,16.6,0.68,90,19,156,229,987,1028.91,2,56
CP II 32,10,16.6,0.68,100,19,163,240,981,1006.9,2,56
CP II 32,10,16.6,0.68,110,19,169,249,973,991.14,2,56
CP II 32,10,16.6,0.68,120,19,176,259,966,970.94,2,56
CP II 32,10,16.6,0.68,130,19,183,269,958,951.7,2,56
CP II 32,10,16.6,0.68,140,19,190,279,950,932.45,2,56
CP II 32,10,16.6,0.68,70,25,133,196,1013,1092.53,2,56
CP II 32,10,16.6,0.68,80,25,140,206,1005,1073.29,2,56
CP II 32,10,16.6,0.68,90,25,148,218,997,1049.72,2,56
CP II 32,10,16.6,0.68,100,25,155,228,989,1030.47,2,56
CP II 32,10,16.6,0.68,110,25,163,240,981,1006.9,2,56
CP II 32,10,16.6,0.68,120,25,170,250,973,987.66,2,56
CP II 32,10,16.6,0.68,130,25,178,262,965,964.09,2,56
CP II 32,10,16.6,0.68,140,25,185,272,957,944.85,2,56
CP II 32,10,16.6,0.68,70,9.5,160,235,1006,995.13,2,55
CP II 32,10,16.6,0.68,80,9.5,165,243,1000,980.93,2,55
CP II 32,10,16.6,0.68,90,9.5,170,250,995,966.62,2,55
CP II 32,10,16.6,0.68,100,9.5,175,257,989.33,952.95,2,55
CP II 32,10,16.6,0.68,110,9.5,180,265,983.83,938.27,2,55
CP II 32,10,16.6,0.68,120,9.5,185,272,978.33,924.45,2,55
CP II 32,10,16.6,0.68,130,9.5,190,279,972.83,910.62,2,55
CP II 32,10,16.6,0.68,140,9.5,195,287,967.33,895.94,2,55
CP II 32,10,16.6,0.68,70,12.5,148,217,1020,1028.57,2,55
CP II 32,10,16.6,0.68,80,12.5,155,228,1012,1008.48,2,55
CP II 32,10,16.6,0.68,90,12.5,161,236,1004,993.56,2,55
CP II 32,10,16.6,0.68,100,12.5,167,245,998,975.88,2,55
CP II 32,10,16.6,0.68,110,12.5,173,254,993,957.25,2,55
CP II 32,10,16.6,0.68,120,12.5,180,264,985,938.01,2,55
CP II 32,10,16.6,0.68,130,12.5,186,273,978,921.29,2,55
CP II 32,10,16.6,0.68,140,12.5,192,282,970,905.52,2,55
CP II 32,10,16.6,0.68,70,19,142,209,1026,1045.4,2,55
CP II 32,10,16.6,0.68,80,19,149,219,1018,1026.16,2,55
CP II 32,10,16.6,0.68,90,19,156,229,1010,1006.91,2,55
CP II 32,10,16.6,0.68,100,19,163,240,1002,986.82,2,55
CP II 32,10,16.6,0.68,110,19,169,249,996,969.14,2,55
CP II 32,10,16.6,0.68,120,19,176,259,989,948.94,2,55
CP II 32,10,16.6,0.68,130,19,183,269,981,929.7,2,55
CP II 32,10,16.6,0.68,140,19,190,279,974,909.5,2,55
CP II 32,10,16.6,0.68,70,25,133,196,1035,1071.49,2,55
CP II 32,10,16.6,0.68,80,25,140,206,1028,1051.29,2,55
CP II 32,10,16.6,0.68,90,25,148,218,1020,1027.72,2,55
CP II 32,10,16.6,0.68,100,25,155,228,1012.67,1007.84,2,55
CP II 32,10,16.6,0.68,110,25,163,240,1003,985.86,2,55
CP II 32,10,16.6,0.68,120,25,170,250,995,966.62,2,55
CP II 32,10,16.6,0.68,130,25,178,262,987,943.05,2,55
CP II 32,10,16.6,0.68,140,25,185,272,978,924.77,2,55
CP II 32,10,16.6,0.68,70,9.5,160,235,1030,972.17,2,54
CP II 32,10,16.6,0.68,80,9.5,165,243,1023,958.93,2,54
CP II 32,10,16.6,0.68,90,9.5,170,250,1017,945.58,2,54
CP II 32,10,16.6,0.68,100,9.5,175,257,1012,931.27,2,54
CP II 32,10,16.6,0.68,110,9.5,180,265,1006,917.08,2,54
CP II 32,10,16.6,0.68,120,9.5,185,272,1000,903.73,2,54
CP II 32,10,16.6,0.68,130,9.5,190,279,995,889.42,2,54
CP II 32,10,16.6,0.68,140,9.5,195,287,990,874.26,2,54
CP II 32,10,16.6,0.68,70,12.5,148,217,1043,1006.57,2,54
CP II 32,10,16.6,0.68,80,12.5,155,228,1035,986.48,2,54
CP II 32,10,16.6,0.68,90,12.5,161,236,1027,971.57,2,54
CP II 32,10,16.6,0.68,100,12.5,167,245,1021,953.89,2,54
CP II 32,10,16.6,0.68,110,12.5,173,254,1015,936.21,2,54
CP II 32,10,16.6,0.68,120,12.5,180,264,1006,917.92,2,54
CP II 32,10,16.6,0.68,130,12.5,186,273,999,901.2,2,54
CP II 32,10,16.6,0.68,140,12.5,192,282,992,884.48,2,54
CP II 32,10,16.6,0.68,70,19,142,209,1050,1022.45,2,54
CP II 32,10,16.6,0.68,80,19,149,219,1041,1004.16,2,54
CP II 32,10,16.6,0.68,90,19,156,229,1033,984.92,2,54
CP II 32,10,16.6,0.68,100,19,163,240,1026,963.87,2,54
CP II 32,10,16.6,0.68,110,19,169,249,1018,948.1,2,54
CP II 32,10,16.6,0.68,120,19,176,259,1010,928.86,2,54
CP II 32,10,16.6,0.68,130,19,183,269,1002,909.62,2,54
CP II 32,10,16.6,0.68,140,19,190,279,995,889.42,2,54
CP II 32,10,16.6,0.68,70,25,133,196,1060,1047.58,2,54
CP II 32,10,16.6,0.68,80,25,140,206,1052,1028.34,2,54
CP II 32,10,16.6,0.68,90,25,148,218,1042,1006.68,2,54
CP II 32,10,16.6,0.68,100,25,155,228,1035,986.48,2,54
CP II 32,10,16.6,0.68,110,25,163,240,1026,963.87,2,54
CP II 32,10,16.6,0.68,120,25,170,250,1017,945.58,2,54
CP II 32,10,16.6,0.68,130,25,178,262,1008,922.97,2,54
CP II 32,10,16.6,0.68,140,25,185,272,1000,903.73,2,54
CP II 32,10,16.6,0.68,70,9.5,160,235,1053,950.18,2,53
CP II 32,10,16.6,0.68,80,9.5,165,243,1046,936.94,2,53
CP II 32,10,16.6,0.68,90,9.5,170,250,1040,923.59,2,53
CP II 32,10,16.6,0.68,100,9.5,175,257,1035,909.28,2,53
CP II 32,10,16.6,0.68,110,9.5,180,265,1029,895.08,2,53
CP II 32,10,16.6,0.68,120,9.5,185,272,1022,882.69,2,53
CP II 32,10,16.6,0.68,130,9.5,190,279,1017,868.38,2,53
CP II 32,10,16.6,0.68,140,9.5,195,287,1011,854.18,2,53
CP II 32,10,16.6,0.68,70,12.5,148,217,1066,984.58,2,53
CP II 32,10,16.6,0.68,80,12.5,155,228,1057,965.44,2,53
CP II 32,10,16.6,0.68,90,12.5,161,236,1050,949.57,2,53
CP II 32,10,16.6,0.68,100,12.5,167,245,1044,931.89,2,53
CP II 32,10,16.6,0.68,110,12.5,173,254,1036,916.13,2,53
CP II 32,10,16.6,0.68,120,12.5,180,264,1028,896.88,2,53
CP II 32,10,16.6,0.68,130,12.5,186,273,1021,880.16,2,53
CP II 32,10,16.6,0.68,140,12.5,192,282,1014,863.44,2,53
CP II 32,10,16.6,0.68,70,19,142,209,1073,1000.45,2,53
CP II 32,10,16.6,0.68,80,19,149,219,1065,981.21,2,53
CP II 32,10,16.6,0.68,90,19,156,229,1056,962.92,2,53
CP II 32,10,16.6,0.68,100,19,163,240,1047.67,943.15,2,53
CP II 32,10,16.6,0.68,110,19,169,249,1041,926.11,2,53
CP II 32,10,16.6,0.68,120,19,176,259,1033,906.86,2,53
CP II 32,10,16.6,0.68,130,19,183,269,1025,887.62,2,53
CP II 32,10,16.6,0.68,140,19,190,279,1017,868.38,2,53
CP II 32,10,16.6,0.68,70,25,133,196,1084,1024.63,2,53
CP II 32,10,16.6,0.68,80,25,140,206,1074,1007.3,2,53
CP II 32,10,16.6,0.68,90,25,148,218,1066,983.73,2,53
CP II 32,10,16.6,0.68,100,25,155,228,1056.67,965.76,2,53
CP II 32,10,16.6,0.68,110,25,163,240,1047.67,943.15,2,53
CP II 32,10,16.6,0.68,120,25,170,250,1040,923.59,2,53
CP II 32,10,16.6,0.68,130,25,178,262,1032,900.02,2,53
CP II 32,10,16.6,0.68,140,25,185,272,1022,882.69,2,53
CP II 32,10,16.6,0.68,70,9.5,160,235,1075,929.14,2,52
CP II 32,10,16.6,0.68,80,9.5,165,243,1068,915.9,2,52
CP II 32,10,16.6,0.68,90,9.5,170,250,1062,902.55,2,52
CP II 32,10,16.6,0.68,100,9.5,175,257,1057,888.24,2,52
CP II 32,10,16.6,0.68,110,9.5,180,265,1051,874.04,2,52
CP II 32,10,16.6,0.68,120,9.5,185,272,1045,860.69,2,52
CP II 32,10,16.6,0.68,130,9.5,190,279,1039,847.34,2,52
CP II 32,10,16.6,0.68,140,9.5,195,287,1034,832.18,2,52
CP II 32,10,16.6,0.68,70,12.5,148,217,1090,961.62,2,52
CP II 32,10,16.6,0.68,80,12.5,155,228,1080,943.45,2,52
CP II 32,10,16.6,0.68,90,12.5,161,236,1073,927.57,2,52
CP II 32,10,16.6,0.68,100,12.5,167,245,1066,910.85,2,52
CP II 32,10,16.6,0.68,110,12.5,173,254,1060,893.17,2,52
CP II 32,10,16.6,0.68,120,12.5,180,264,1052,873.93,2,52
CP II 32,10,16.6,0.68,130,12.5,186,273,1044,858.17,2,52
CP II 32,10,16.6,0.68,140,12.5,192,282,1036,842.4,2,52
CP II 32,10,16.6,0.68,70,19,142,209,1096,978.45,2,52
CP II 32,10,16.6,0.68,80,19,149,219,1087,960.17,2,52
CP II 32,10,16.6,0.68,90,19,156,229,1079,940.92,2,52
CP II 32,10,16.6,0.68,100,19,163,240,1070.33,921.47,2,52
CP II 32,10,16.6,0.68,110,19,169,249,1064,904.11,2,52
CP II 32,10,16.6,0.68,120,19,176,259,1055,885.82,2,52
CP II 32,10,16.6,0.68,130,19,183,269,1047,866.58,2,52
CP II 32,10,16.6,0.68,140,19,190,279,1039,847.34,2,52
CP II 32,10,16.6,0.68,70,25,133,196,1106,1003.59,2,52
CP II 32,10,16.6,0.68,80,25,140,206,1098,984.34,2,52
CP II 32,10,16.6,0.68,90,25,148,218,1088,962.69,2,52
CP II 32,10,16.6,0.68,100,25,155,228,1080,943.45,2,52
CP II 32,10,16.6,0.68,110,25,163,240,1070.33,921.47,2,52
CP II 32,10,16.6,0.68,120,25,170,250,1063,901.59,2,52
CP II 32,10,16.6,0.68,130,25,178,262,1054,878.98,2,52
CP II 32,10,16.6,0.68,140,25,185,272,1045,860.69,2,52
CP II 32,10,16.6,0.68,70,9.5,160,235,1098,907.14,2,51
CP II 32,10,16.6,0.68,80,9.5,165,243,1092,892.94,2,51
CP II 32,10,16.6,0.68,90,9.5,170,250,1085,880.55,2,51
CP II 32,10,16.6,0.68,100,9.5,175,257,1078.67,867.52,2,51
CP II 32,10,16.6,0.68,110,9.5,180,265,1073,853,2,51
CP II 32,10,16.6,0.68,120,9.5,185,272,1068,838.69,2,51
CP II 32,10,16.6,0.68,130,9.5,190,279,1061,826.3,2,51
CP II 32,10,16.6,0.68,140,9.5,195,287,1055,812.1,2,51
CP II 32,10,16.6,0.68,70,12.5,148,217,1111,941.54,2,51
CP II 32,10,16.6,0.68,80,12.5,155,228,1103,921.45,2,51
CP II 32,10,16.6,0.68,90,12.5,161,236,1097,904.62,2,51
CP II 32,10,16.6,0.68,100,12.5,167,245,1089.67,888.22,2,51
CP II 32,10,16.6,0.68,110,12.5,173,254,1082.67,871.5,2,51
CP II 32,10,16.6,0.68,120,12.5,180,264,1074,852.89,2,51
CP II 32,10,16.6,0.68,130,12.5,186,273,1067,836.17,2,51
CP II 32,10,16.6,0.68,140,12.5,192,282,1060,819.45,2,51
CP II 32,10,16.6,0.68,70,19,142,209,1120,955.5,2,51
CP II 32,10,16.6,0.68,80,19,149,219,1110,938.17,2,51
CP II 32,10,16.6,0.68,90,19,156,229,1102,918.93,2,51
CP II 32,10,16.6,0.68,100,19,163,240,1095,897.88,2,51
CP II 32,10,16.6,0.68,110,19,169,249,1086,883.07,2,51
CP II 32,10,16.6,0.68,120,19,176,259,1078,863.83,2,51
CP II 32,10,16.6,0.68,130,19,183,269,1069,845.54,2,51
CP II 32,10,16.6,0.68,140,19,190,279,1061,826.3,2,51
CP II 32,10,16.6,0.68,70,25,133,196,1131,979.68,2,51
CP II 32,10,16.6,0.68,80,25,140,206,1122,961.39,2,51
CP II 32,10,16.6,0.68,90,25,148,218,1113,938.78,2,51
CP II 32,10,16.6,0.68,100,25,155,228,1104,920.49,2,51
CP II 32,10,16.6,0.68,110,25,163,240,1095,897.88,2,51
CP II 32,10,16.6,0.68,120,25,170,250,1086,879.59,2,51
CP II 32,10,16.6,0.68,130,25,178,262,1077,856.98,2,51
CP II 32,10,16.6,0.68,140,25,185,272,1068,838.69,2,51
CP II 32,10,16.6,0.68,70,9.5,160,235,1120,886.1,2,50
CP II 32,10,16.6,0.68,80,9.5,165,243,1114,871.9,2,50
CP II 32,10,16.6,0.68,90,9.5,170,250,1108,858.55,2,50
CP II 32,10,16.6,0.68,100,9.5,175,257,1102,845.2,2,50
CP II 32,10,16.6,0.68,110,9.5,180,265,1096,831,2,50
CP II 32,10,16.6,0.68,120,9.5,185,272,1090,817.65,2,50
CP II 32,10,16.6,0.68,130,9.5,190,279,1084,804.3,2,50
CP II 32,10,16.6,0.68,140,9.5,195,287,1078,790.1,2,50
CP II 32,10,16.6,0.68,70,12.5,148,217,1136,917.63,2,50
CP II 32,10,16.6,0.68,80,12.5,155,228,1127,898.5,2,50
CP II 32,10,16.6,0.68,90,12.5,161,236,1120,882.62,2,50
CP II 32,10,16.6,0.68,100,12.5,167,245,1112,866.86,2,50
CP II 32,10,16.6,0.68,110,12.5,173,254,1104,851.09,2,50
CP II 32,10,16.6,0.68,120,12.5,180,264,1097,830.89,2,50
CP II 32,10,16.6,0.68,130,12.5,186,273,1088,816.09,2,50
CP II 32,10,16.6,0.68,140,12.5,192,282,1082,798.41,2,50
CP II 32,10,16.6,0.68,70,19,142,209,1143,933.5,2,50
CP II 32,10,16.6,0.68,80,19,149,219,1135,914.26,2,50
CP II 32,10,16.6,0.68,90,19,156,229,1126,895.97,2,50
CP II 32,10,16.6,0.68,100,19,163,240,1117.67,876.2,2,50
CP II 32,10,16.6,0.68,110,19,169,249,1109.17,860.91,2,50
CP II 32,10,16.6,0.68,120,19,176,259,1100.67,842.15,2,50
CP II 32,10,16.6,0.68,130,19,183,269,1092.17,823.39,2,50
CP II 32,10,16.6,0.68,140,19,190,279,1083.67,804.62,2,50
CP II 32,10,16.6,0.68,70,25,133,196,1153,958.64,2,50
CP II 32,10,16.6,0.68,80,25,140,206,1145,939.4,2,50
CP II 32,10,16.6,0.68,90,25,148,218,1136,916.78,2,50
CP II 32,10,16.6,0.68,100,25,155,228,1127.67,897.86,2,50
CP II 32,10,16.6,0.68,110,25,163,240,1118,875.88,2,50
CP II 32,10,16.6,0.68,120,25,170,250,1108,858.55,2,50
CP II 32,10,16.6,0.68,130,25,178,262,1098,836.9,2,50
CP II 32,10,16.6,0.68,140,25,185,272,1090,817.65,2,50
CP II 32,10,16.6,0.68,70,9.5,160,235,1143,864.11,2,49
CP II 32,10,16.6,0.68,80,9.5,165,243,1138,848.95,2,49
CP II 32,10,16.6,0.68,90,9.5,170,250,1131,836.56,2,49
CP II 32,10,16.6,0.68,100,9.5,175,257,1125.33,822.89,2,49
CP II 32,10,16.6,0.68,110,9.5,180,265,1119.33,808.69,2,49
CP II 32,10,16.6,0.68,120,9.5,185,272,1111,797.57,2,49
CP II 32,10,16.6,0.68,130,9.5,190,279,1105,784.22,2,49
CP II 32,10,16.6,0.68,140,9.5,195,287,1099,770.02,2,49
CP II 32,10,16.6,0.68,70,12.5,148,217,1158,896.59,2,49
CP II 32,10,16.6,0.68,80,12.5,155,228,1150,876.5,2,49
CP II 32,10,16.6,0.68,90,12.5,161,236,1142,861.58,2,49
CP II 32,10,16.6,0.68,100,12.5,167,245,1134,845.82,2,49
CP II 32,10,16.6,0.68,110,12.5,173,254,1128,828.14,2,49
CP II 32,10,16.6,0.68,120,12.5,180,264,1118,810.81,2,49
CP II 32,10,16.6,0.68,130,12.5,186,273,1110,795.05,2,49
CP II 32,10,16.6,0.68,140,12.5,192,282,1104,777.37,2,49
CP II 32,10,16.6,0.68,70,19,142,209,1165,912.46,2,49
CP II 32,10,16.6,0.68,80,19,149,219,1158,892.26,2,49
CP II 32,10,16.6,0.68,90,19,156,229,1148,874.93,2,49
CP II 32,10,16.6,0.68,100,19,163,240,1140,854.84,2,49
CP II 32,10,16.6,0.68,110,19,169,249,1131.5,839.56,2,49
CP II 32,10,16.6,0.68,120,19,176,259,1123,820.79,2,49
CP II 32,10,16.6,0.68,130,19,183,269,1114.5,802.03,2,49
CP II 32,10,16.6,0.68,140,19,190,279,1106,783.26,2,49
CP II 32,10,16.6,0.68,70,25,133,196,1177,935.69,2,49
CP II 32,10,16.6,0.68,80,25,140,206,1169,916.44,2,49
CP II 32,10,16.6,0.68,90,25,148,218,1158,895.74,2,49
CP II 32,10,16.6,0.68,100,25,155,228,1149,877.46,2,49
CP II 32,10,16.6,0.68,110,25,163,240,1139.5,855.32,2,49
CP II 32,10,16.6,0.68,120,25,170,250,1130,837.51,2,49
CP II 32,10,16.6,0.68,130,25,178,262,1120.5,815.38,2,49
CP II 32,10,16.6,0.68,140,25,185,272,1111,797.57,2,49
CP II 32,10,16.6,0.68,70,9.5,160,235,1167,841.15,2,48
